county,2019,2020,2021
Johnson,29,625,31,779,35,577
Lafayette,37,184,40,154,47,355
Lawrence,34,286,39,170,40,161
Lee,30,106,34,169,37,128
Lincoln,27,391,29,548,33,387
Little River,34,511,37,360,40,794
Logan,33,216,35,348,39,622
Lonoke,40,743,43,681,46,388
Madison,34,040,34,782,40,884
Marion,31,484,33,925,36,684
Miller,35,023,37,832,40,319
Mississippi,35,086,38,264,42,273
Monroe,33,835,40,187,41,783
Montgomery,31,575,34,374,37,039
Nevada,33,332,35,106,39,041
Newton,32,564,35,371,38,629
Ouachita,39,340,42,742,46,428
Perry,37,206,39,715,43,793
Phillips,35,443,41,005,45,497
Pike,33,089,34,971,40,806
Poinsett,34,645,38,591,41,551
Polk,31,293,33,816,38,178
Pope,36,057,37,465,40,937
Prairie,35,328,42,026,43,835
Pulaski,52,047,55,423,58,583
Randolph,33,346,36,205,39,491
St. Francis,30,215,33,394,36,761
Saline,43,696,46,269,49,031
Scott,32,039,33,703,38,790
Searcy,28,574,31,731,34,335
Sebastian,43,368,45,505,48,556
Sevier,33,325,35,030,41,322
Sharp,34,817,36,583,41,025
Stone,31,554,33,395,37,002
Union,45,295,47,422,50,787
Van Buren,32,935,35,870,38,783
Washington,41,081,44,261,47,836
White,37,253,39,958,42,743
Woodruff,38,049,46,730,49,050
Yell,34,694,35,573,41,750
California,64,919,70,647,76,614
Alameda,80,623,88,841,99,746
Alpine,80,225,75,220,72,734
Amador,44,121,47,790,49,752
Butte,46,174,51,402,54,694
Calaveras,50,310,55,355,57,726
Colusa,45,180,55,498,54,511
Contra Costa,81,782,88,910,99,312
Del Norte,36,860,41,309,43,951
El Dorado,69,408,74,679,78,525
Fresno,42,987,48,312,51,422
Glenn,43,581,49,454,50,626
Humboldt,46,285,50,693,53,607
Imperial,37,904,45,021,47,653
Inyo,58,351,60,124,62,090
Kern,39,477,44,063,45,961
Kings,36,599,41,397,43,176
Lake,40,457,44,403,46,918
Lassen,33,092,37,634,39,394
Los Angeles,63,252,68,541,74,141
Madera,39,388,44,072,45,757
Marin,139,891,148,419,164,118
Mariposa,54,375,57,964,61,343
Mendocino,48,013,53,087,56,047
Merced,38,626,43,980,46,580
Modoc,46,245,52,459,54,301
Mono,55,369,61,649,64,164
Monterey,56,313,61,105,63,449
Napa,74,379,82,643,90,608
Nevada,61,358,65,652,68,973
Orange,70,539,75,737,81,034
Placer,68,351,73,261,76,849
Plumas,50,296,54,185,57,193
Riverside,43,295,47,702,51,180
Sacramento,53,005,57,991,61,829
San Benito,54,370,61,564,68,868
San Bernardino,41,253,45,499,49,493
San Diego,62,533,67,830,72,637
San Francisco,130,464,141,134,160,749
San Joaquin,45,547,51,766,57,783
San Luis Obispo,59,806,63,652,66,617
San Mateo,131,180,142,264,160,485
Santa Barbara,63,586,69,457,73,995
Santa Clara,113,693,122,785,138,724
Santa Cruz,70,129,77,181,85,554
Shasta,46,113,51,514,54,972
Sierra,41,365,44,542,47,135
Siskiyou,43,951,49,420,52,368
Solano,51,819,58,406,65,448
Sonoma,66,715,73,526,81,006
Stanislaus,43,729,49,128,52,356
Sutter,44,212,49,710,53,017
Tehama,40,437,45,064,48,042
Trinity,32,079,34,293,36,906
Tulare,40,061,45,556,47,986
Tuolumne,46,104,49,622,52,306
Ventura,63,833,68,647,73,375
Yolo,55,724,60,918,64,468
Yuba,41,443,45,806,48,984
Colorado,62,124,65,358,70,706
Adams,45,266,48,606,53,183
Alamosa,38,025,41,152,44,507
Arapahoe,65,322,68,630,74,267
Archuleta,46,973,50,527,52,312
Baca,39,990,46,142,52,905
Bent,27,231,29,796,32,716
Boulder,79,698,83,173,89,593
Broomfield,67,287,66,999,73,678
Chaffee,53,607,56,878,60,550
Cheyenne,54,006,47,755,76,057
Clear Creek,66,439,70,828,77,242
Conejos,38,179,41,346,45,961
Costilla,37,326,39,705,43,239
Crowley,19,286,21,480,24,314
Custer,46,705,49,704,51,271
Delta,38,727,43,409,46,042
Denver,86,539,89,736,99,133
Dolores,35,024,36,479,39,481
Douglas,77,986,81,637,87,841
Eagle,84,648,91,432,97,255
Elbert,63,234,65,896,70,961
El Paso,51,015,54,712,58,627
Fremont,35,147,38,325,41,017
Garfield,59,183,62,296,67,123
Gilpin,53,743,59,027,63,971
Grand,54,819,58,265,62,267
Gunnison,51,935,56,168,59,514
Hinsdale,50,952,52,257,56,524
Huerfano,41,653,45,781,48,801
Jackson,54,569,58,270,62,823
Jefferson,66,571,69,118,74,822
Kiowa,52,817,53,903,75,006
Kit Carson,42,172,42,436,52,253
Lake,40,328,44,537,48,942
La Plata,60,274,63,179,66,944
Larimer,56,851,60,219,64,258
Las Animas,38,055,42,016,44,731
Lincoln,29,608,32,951,37,623
Logan,43,230,44,239,48,330
Mesa,46,318,48,884,52,121
Mineral,66,224,67,967,70,250
Moffat,41,744,45,652,49,227
Montezuma,44,060,46,887,50,960
Montrose,43,187,46,747,50,789
Morgan,44,756,47,366,52,069
Otero,36,070,39,281,42,752
Ouray,67,967,72,871,76,727
Park,49,865,53,092,57,127
Phillips,42,230,44,065,50,382
Pitkin,183,241,187,595,198,939
Prowers,39,677,41,752,46,073
Pueblo,39,857,43,513,46,927
Rio Blanco,47,144,50,197,54,745
Rio Grande,47,729,52,047,57,350
Routt,88,318,94,626,98,371
Saguache,37,140,38,688,43,959
San Juan,49,887,53,827,58,067
San Miguel,95,927,101,654,109,613
Sedgwick,42,382,41,472,51,705
Summit,76,517,81,157,86,390
Teller,54,000,57,928,61,966
Washington,39,264,41,064,48,270
Weld,50,117,52,354,56,553
Yuma,44,269,41,615,48,898
Connecticut,75,533,78,463,83,294
Fairfield,116,996,119,366,127,391
Hartford,64,283,67,205,70,168
Litchfield,65,789,69,700,74,852
Middlesex,68,546,71,602,74,453
New Haven,56,888,60,128,64,643
New London,58,362,61,222,63,877
Tolland,57,947,60,819,63,722
Windham,47,872,51,376,55,261
Delaware,54,217,56,324,59,931
Kent,44,490,46,542,50,432
New Castle,56,930,59,303,63,189
Sussex,55,124,56,669,59,472
District of Columbia,84,671,89,735,96,477
Florida,54,560,57,292,62,270
Alachua,45,870,48,858,52,367
Baker,35,058,37,403,40,735
Bay,46,452,50,394,53,980
Bradford,34,515,36,956,39,748
Brevard,48,725,51,769,55,477
Broward,54,387,57,878,64,453
Calhoun,30,016,33,042,35,792
Charlotte,46,707,49,052,51,677
Citrus,39,985,42,292,45,050
Clay,45,319,48,070,51,885
Collier,110,272,112,479,117,984
Columbia,37,206,39,839,43,184
DeSoto,28,389,30,286,32,873
Dixie,29,496,32,064,33,813
Duval,47,097,50,307,54,354
Escambia,44,739,47,837,51,808
Flagler,50,695,52,613,56,336
Franklin,36,528,38,995,41,878
Gadsden,37,238,40,463,44,832
Gilchrist,36,618,39,046,41,769
Glades,28,683,31,398,33,401
Gulf,43,025,45,709,49,250
Hamilton,27,604,29,767,32,123
Hardee,29,812,32,358,35,636
Hendry,34,352,37,672,39,699
Hernando,39,733,42,585,46,080
Highlands,36,309,39,163,41,568
